"Category","Requirement","Body","Reference"
"Chapter IX - Provisions relating to specific processing situations","Processing of the national identification number","Member States may further determine the specific conditions for the processing of a national identification number or any other identifier of general application. In that case the national identification number or any other identifier of general application shall be used only under appropriate safeguards for the rights and freedoms of the data subject pursuant to this Regulation.","GDPR Art. 87"
"Chapter IX - Provisions relating to specific processing situations","Processing in the context of employment","Member States may, by law or by collective agreements, provide for more specific rules to ensure the protection of the rights and freedoms in respect of the processing of employees' personal data in the employment context, in particular for the purposes of the recruitment, the performance of the contract of employment, management, planning and organisation of work, equality and diversity, health and safety at work, protection of employer's or customer's property and for the purposes of the exercise and enjoyment, on an individual or collective basis, of rights and benefits related to employment, and for the purpose of the termination of the employment relationship.","GDPR Art. 88"
"Chapter IX - Provisions relating to specific processing situations","Safeguards and derogations relating to processing for archiving purposes in the public interest, scientific or historical research purposes or statistical purposes","Processing for archiving purposes in the public interest, scientific or historical research purposes or statistical purposes shall be subject to appropriate safeguards for the rights and freedoms of the data subject. Those safeguards shall ensure that technical and organisational measures are in place to ensure respect for the principle of data minimisation, including pseudonymisation. Union or Member State law may provide for derogations from rights referred to in Articles 15, 16, 18 and 21 subject to conditions and safeguards where likely to render impossible or seriously impair achievement of the specific purposes.","GDPR Art. 89"
"Chapter IX - Provisions relating to specific processing situations","Obligations of secrecy","Member States may adopt specific rules to set out the powers of the supervisory authorities laid down in Article 58(1)(e) and (f) in relation to controllers or processors that are subject, under Union or Member State law or rules established by national competent bodies, to an obligation of professional secrecy or other equivalent obligations of secrecy where this is necessary and proportionate to reconcile the right to the protection of personal data with the obligation of secrecy.","GDPR Art. 90"
"Chapter IX - Provisions relating to specific processing situations","Existing data protection rules of churches and religious associations","Where in a Member State, churches and religious associations or communities apply, at the time of entry into force of this Regulation, comprehensive rules relating to the protection of natural persons with regard to processing, such rules may continue to apply, provided that they are brought into line with this Regulation. Churches and religious associations which apply comprehensive rules shall be subject to the supervision of an independent supervisory authority, which may be specific.","GDPR Art. 91"
"Chapter X - Delegated acts and implementing acts","Exercise of the delegation","The power to adopt delegated acts is conferred on the Commission subject to the conditions laid down in this Article. The delegation of power referred to in Article 12(8) and Article 43(8) shall be conferred on the Commission for an indeterminate period of time from 24 May 2016. The delegation may be revoked at any time by the European Parliament or by the Council. A delegated act enters into force only if no objection has been expressed within three months.","GDPR Art. 92"
"Chapter X - Delegated acts and implementing acts","Committee procedure","The Commission shall be assisted by a committee. That committee shall be a committee within the meaning of Regulation (EU) No 182/2011. Where reference is made to this paragraph, Article 5 of Regulation (EU) No 182/2011 shall apply. Where reference is made to this paragraph, Article 8 of Regulation (EU) No 182/2011, in conjunction with Article 5 thereof, shall apply.","GDPR Art. 93"
"Chapter XI - Final provisions","Repeal of Directive 95/46/EC","Directive 95/46/EC is repealed with effect from 25 May 2018. References to the repealed Directive shall be construed as references to this Regulation. References to the Working Party on the Protection of Individuals with regard to the Processing of Personal Data established by Article 29 of Directive 95/46/EC shall be construed as references to the European Data Protection Board established by this Regulation.","GDPR Art. 94"
"Chapter XI - Final provisions","Relationship with Directive 2002/58/EC","This Regulation shall not impose additional obligations on natural or legal persons in relation to processing in connection with the provision of publicly available electronic communications services in public communication networks in the Union in relation to matters for which they are subject to specific obligations with the same objective set out in Directive 2002/58/EC (ePrivacy Directive).","GDPR Art. 95"
"Chapter XI - Final provisions","Relationship with previously concluded Agreements","International agreements involving the transfer of personal data to third countries or international organisations which were concluded by Member States prior to 24 May 2016, and which comply with Union law as applicable prior to that date, shall remain in force until amended, replaced or revoked.","GDPR Art. 96"
"Chapter XI - Final provisions","Commission reports","By 25 May 2020 and every four years thereafter, the Commission shall submit a report on the evaluation and review of this Regulation to the European Parliament and to the Council. The reports shall be made public. In carrying out the evaluations and reviews referred to, the Commission shall examine, in particular, the application and functioning of Chapter V on the transfer of personal data to third countries or international organisations and of Chapter VII on cooperation and consistency.","GDPR Art. 97"
"Chapter XI - Final provisions","Review of other Union legal acts on data protection","The Commission shall, if appropriate, submit legislative proposals with a view to amending other Union legal acts on the protection of personal data, in order to ensure uniform and consistent protection of natural persons with regard to processing. This shall in particular concern the rules relating to the protection of natural persons with regard to processing by Union institutions, bodies, offices and agencies and on the free movement of such data.","GDPR Art. 98"
"Chapter XI - Final provisions","Entry into force and application","This Regulation shall enter into force on the twentieth day following that of its publication in the Official Journal of the European Union. It shall apply from 25 May 2018. This Regulation shall be binding in its entirety and directly applicable in all Member States.","GDPR Art. 99"
